City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,Clyde River,70.4692,-68.5914,-19.97,69,75,25.32,CA,2022-02-09 17:37:43
171,Luwuk,-0.9516,122.7875,77.31,85,100,4.25,ID,2022-02-09 17:42:21
172,Ugoofaaru,5.6667,73.0,81.37,73,66,9.82,MV,2022-02-09 17:42:21
173,Gravdal,68.1214,13.5031,33.48,100,75,6.91,NO,2022-02-09 17:42:21
174,Sarhari,26.0977,68.4786,64.4,59,0,4.61,PK,2022-02-09 17:42:22
175,Christchurch,-43.5333,172.6333,63.91,96,100,4.61,NZ,2022-02-09 17:42:08
176,Caravelas,-17.7125,-39.2481,84.88,62,71,10.71,BR,2022-02-09 17:43:22
177,Erdenet,49.0333,104.0833,-2.78,100,100,2.33,MN,2022-02-09 17:43:22
178,Awjilah,29.1081,21.2869,55.31,42,15,8.46,LY,2022-02-09 17:43:23
179,Pemba,-12.974,40.5178,81.3,83,75,9.22,MZ,2022-02-09 17:43:23
180,Verkhnyaya Inta,65.9811,60.3094,7.41,79,1,11.43,RU,2022-02-09 17:43:24
181,Port Moresby,-9.4431,147.1797,76.84,88,68,6.02,PG,2022-02-09 17:42:55
182,Mafinga,-7.25,35.0667,66.49,92,100,3.53,TZ,2022-02-09 17:43:24
183,Qaqortoq,60.7167,-46.0333,18.1,64,97,9.86,GL,2022-02-09 17:43:25
184,Simao,22.7886,100.9748,49.05,55,6,1.39,CN,2022-02-09 17:43:25
185,Mabaruma,8.2,-59.7833,82.54,61,94,7.23,GY,2022-02-09 17:43:25
186,Ayan,56.45,138.1667,10.83,79,100,7.9,RU,2022-02-09 17:41:45
187,Bandarbeyla,9.4942,50.8122,75.29,65,19,19.35,SO,2022-02-09 17:43:26
188,Kutum,14.2,24.6667,66.9,11,6,9.6,SD,2022-02-09 17:43:26
189,Mar Del Plata,-38.0023,-57.5575,78.82,69,0,11.5,AR,2022-02-09 17:41:26
190,Sola,-13.8833,167.55,81.88,80,100,26.8,VU,2022-02-09 17:38:13
191,Faya,18.3851,42.4509,59.52,77,5,4.59,SA,2022-02-09 17:43:27
192,Trairi,-3.2778,-39.2689,84.47,65,70,10.74,BR,2022-02-09 17:43:27
193,Port Hardy,50.6996,-127.4199,47.75,100,100,8.05,CA,2022-02-09 17:43:27
194,Hirtshals,57.5881,9.9592,39.85,75,39,27.31,DK,2022-02-09 17:43:28
195,Bodden Town,19.2833,-81.25,82.4,70,75,5.99,KY,2022-02-09 17:43:28
196,Pitimbu,-7.4706,-34.8086,88.39,64,85,11.3,BR,2022-02-09 17:43:29
197,Anito,12.4497,125.2886,77.67,81,100,9.75,PH,2022-02-09 17:43:29
198,Mandalgovi,45.7625,106.2708,2.57,89,93,9.55,MN,2022-02-09 17:43:29
199,Kisangani,0.5167,25.2,84.56,61,79,0.0,CD,2022-02-09 17:43:30
200,Abonnema,4.7084,6.7931,93.49,67,19,14.16,NG,2022-02-09 17:43:30
